sourceFile,timestamp,totalGames,config_maxTurns,config_batchSize,strategy,count,outcomes,avgDays,avgFinalMoney,avgRevenue,avgRepairCosts,avgFishDeaths,avgPlantDeaths,avgPeakAmmonia,avgBiofiltersBought,avgFirstHarvestDay,successRatePct,survivalRatePct,eventRepairRatePct,milestone_none,milestone_established,milestone_profitable,milestone_thriving,totalDays,totalMoney,totalRevenue,totalRepairCosts,totalFishDeaths,totalPlantDeaths,totalBiofiltersBought,totalEventsEncountered,totalEventsRepaired
simulation-results-100k.json,2026-06-24T08:34:39.668Z,100000,100,100,conservative,25000,time_limit=24998|success=2,100,2325,1373.02,133.63,0,4.6,0.357,0,5,0,100,33,1,65,35,0,2499978,58124889.72999981,34325473.225563735,3340625,0,114152,0,140277,45891
simulation-results-100k.json,2026-06-24T08:34:39.669Z,100000,100,100,aggressive,25000,time_limit=24833|success=167,99.9,2286.57,2467.45,249.09,14.7,457.6,2.535,0,6,1,100,51,1,46,52,1,2498543,57164155.94000028,61686365.55716081,6227125,367446,11439398,0,188035,96837
simulation-results-100k.json,2026-06-24T08:34:39.669Z,100000,100,100,balanced,25000,time_limit=24996|success=4,100,2384.34,2540.54,172.06,0,0,1.305,0.1,5,0,100,41,1,61,38,0,2499965,59608548.00000023,63513392.333557405,4301550,23,1,3241,158929,65199
simulation-results-100k.json,2026-06-24T08:34:39.669Z,100000,100,100,reactive,25000,time_limit=25000,100,1994.07,967.5,118.91,0,0.3,0.349,0,5,0,100,31,16,69,15,0,2500000,49851869.08000012,24187483.232180763,2972850,0,7822,0,130564,40890
