"sourceFile","timestamp","totalGames","config_maxTurns","config_batchSize","strategy","count","outcomes","avgDays","avgFinalMoney","avgRevenue","avgRepairCosts","avgFishDeaths","avgPlantDeaths","avgPeakAmmonia","avgBiofiltersBought","avgFirstHarvestDay","successRate","survivalRate","eventRepairRate","totalDays","totalMoney","totalRevenue","totalRepairCosts","totalFishDeaths","totalPlantDeaths","totalBiofiltersBought","totalEventsEncountered","totalEventsRepaired"
"simulation-results-10k-final.json","2026-06-16T23:19:37.759Z","10000","100","100","aggressive","2500","time_limit=2500","100","368.77","1148","239.32","29.9","599.1","3.578","0","6",,,,"250000","921921.0100000006","2869995.7055636807","598300","74705","1497724","0","17576","8167"
"simulation-results-10k-final.json","2026-06-16T23:19:37.759Z","10000","100","100","balanced","2500","time_limit=2500","100","929.88","1978.26","262.3","0","0","1.381","0.1","5",,,,"250000","2324698.8199999975","4945651.537104238","655750","0","0","358","18304","9007"
"simulation-results-10k-final.json","2026-06-16T23:19:37.759Z","10000","100","100","conservative","2500","time_limit=2500","100","1186.46","1094.1","259.85","0","4.1","0.403","0","5",,,,"250000","2966155.049999999","2735257.454802695","649625","0","10288","0","18127","8951"
"simulation-results-10k-final.json","2026-06-16T23:19:37.759Z","10000","100","100","reactive","2500","time_limit=2500","100","983.63","767.81","220.27","0","0.3","0.383","0","5",,,,"250000","2459064.5899999994","1919524.3846706543","550675","0","863","0","15868","7596"
