"sourceFile","timestamp","totalGames","config_maxTurns","config_batchSize","strategy","count","outcomes","avgDays","avgFinalMoney","avgRevenue","avgRepairCosts","avgFishDeaths","avgPlantDeaths","avgPeakAmmonia","avgBiofiltersBought","avgFirstHarvestDay","successRate","survivalRate","eventRepairRate","totalDays","totalMoney","totalRevenue","totalRepairCosts","totalFishDeaths","totalPlantDeaths","totalBiofiltersBought","totalEventsEncountered","totalEventsRepaired"
"post-bonuses-10k.json","2026-06-17T13:57:09.123Z","2500","100","100","aggressive","625","time_limit=625","100","1937.72","2616.43","270.8","15.6","401.9","2.645","0","6",,,,"62500","1211077.6300000006","1635269.0706164066","169250","9779","251205","0","4577","2323"
"post-bonuses-10k.json","2026-06-17T13:57:09.123Z","2500","100","100","balanced","625","time_limit=625","100","1461.19","2516.59","266.88","0","0","1.356","0.1","5",,,,"62500","913242.3100000002","1572871.419223951","166800","0","0","79","4613","2297"
"post-bonuses-10k.json","2026-06-17T13:57:09.123Z","2500","100","100","conservative","625","time_limit=625","100","1537.72","1364.27","269","0","3.3","0.407","0","5",,,,"62500","961075.5899999995","852670.3054116046","168125","0","2072","0","4553","2277"
"post-bonuses-10k.json","2026-06-17T13:57:09.123Z","2500","100","100","reactive","625","time_limit=625","100","1261.94","957.27","223.6","0","0.3","0.386","0","5",,,,"62500","788712.8","598295.0039797706","139750","0","197","0","3886","1901"
