"sourceFile","timestamp","totalGames","config_maxTurns","config_batchSize","strategy","count","outcomes","avgDays","avgFinalMoney","avgRevenue","avgRepairCosts","avgFishDeaths","avgPlantDeaths","avgPeakAmmonia","avgBiofiltersBought","avgFirstHarvestDay","successRate","survivalRate","eventRepairRate","totalDays","totalMoney","totalRevenue","totalRepairCosts","totalFishDeaths","totalPlantDeaths","totalBiofiltersBought","totalEventsEncountered","totalEventsRepaired"
"simulation-results-1000.json","2026-06-16T18:06:24.025Z","1000","100","100","aggressive","250","time_limit=250","100.0","$1798.43","$2908.28","$330.00","13.7","137.0","3.473","0.0","5.0","0%","100%","56%","25000","449608.0799999998","727069.0024829122","82500","3413","34257","0","2019","1139"
"simulation-results-1000.json","2026-06-16T18:06:24.025Z","1000","100","100","balanced","250","time_limit=250","100.0","$870.94","$2220.88","$329.60","0.0","0.0","1.248","2.9","5.0","0%","100%","55%","25000","217736.07999999996","555218.8636279795","82400","0","0","713","2093","1155"
"simulation-results-1000.json","2026-06-16T18:06:24.025Z","1000","100","100","conservative","250","time_limit=250","100.0","$1189.54","$1213.33","$358.50","0.0","3.9","0.410","0.0","5.0","0%","100%","57%","25000","297384.9699999998","303331.674271815","89625","0","974","0","2179","1241"
"simulation-results-1000.json","2026-06-16T18:06:24.025Z","1000","100","100","reactive","250","time_limit=250","100.0","$972.66","$822.66","$273.00","0.0","0.0","0.381","0.0","5.0","0%","100%","55%","25000","243165.6699999998","205664.30358535223","68250","0","8","0","1734","960"
