"sourceFile","timestamp","totalGames","config_maxTurns","config_batchSize","strategy","count","outcomes","avgDays","avgFinalMoney","avgRevenue","avgRepairCosts","avgFishDeaths","avgPlantDeaths","avgPeakAmmonia","avgBiofiltersBought","avgFirstHarvestDay","successRate","survivalRate","eventRepairRate","totalDays","totalMoney","totalRevenue","totalRepairCosts","totalFishDeaths","totalPlantDeaths","totalBiofiltersBought","totalEventsEncountered","totalEventsRepaired"
"simulation-results-10k.json","2026-06-16T22:43:17.799Z","10000","100","100","aggressive","2500","time_limit=2500","100","1741.62","2865.79","345.91","13.5","156.7","3.49","0","5",,,,"250000","4354058.949999992","7164473.628343561","864775","33751","391832","0","21097","12022"
"simulation-results-10k.json","2026-06-16T22:43:17.799Z","10000","100","100","balanced","2500","time_limit=2500","100","843.09","2220.53","350.98","0","0","1.264","2.9","5",,,,"250000","2107713.4699999997","5551320.329461004","877450","12","10","7294","21279","12201"
"simulation-results-10k.json","2026-06-16T22:43:17.799Z","10000","100","100","conservative","2500","time_limit=2500","100","1203.09","1217.18","346.46","0","2.5","0.408","0","5",,,,"250000","3007717.1800000053","3042952.1188626583","866150","0","6338","0","21151","12120"
"simulation-results-10k.json","2026-06-16T22:43:17.799Z","10000","100","100","reactive","2500","time_limit=2500","100","962.71","822.16","277.81","0","0","0.388","0","5",,,,"250000","2406771.99","2055406.658664167","694525","0","123","0","17827","9717"
