"sourceFile","timestamp","totalGames","config_maxTurns","config_batchSize","strategy","count","outcomes","avgDays","avgFinalMoney","avgRevenue","avgRepairCosts","avgFishDeaths","avgPlantDeaths","avgPeakAmmonia","avgBiofiltersBought","avgFirstHarvestDay","successRate","survivalRate","eventRepairRate","totalDays","totalMoney","totalRevenue","totalRepairCosts","totalFishDeaths","totalPlantDeaths","totalBiofiltersBought","totalEventsEncountered","totalEventsRepaired"
"simulation-results-10k-v2.json","2026-06-16T23:07:41.375Z","10000","100","100","aggressive","2500","time_limit=2500","100","167.79","808.48","222.39","31.4","514.6","3.556","0","8",,,,"250000","419475.83999999997","2021200.1515539256","555975","78399","1286518","0","16963","7688"
"simulation-results-10k-v2.json","2026-06-16T23:07:41.375Z","10000","100","100","balanced","2500","time_limit=2500","100","197.24","1629.75","170.6","7.8","14.6","1.497","6.6","6",,,,"250000","493107.0199999996","4074373.3884107913","426500","19569","36504","16429","14017","6030"
"simulation-results-10k-v2.json","2026-06-16T23:07:41.375Z","10000","100","100","conservative","2500","time_limit=2500","100","796.88","970.73","261.5","0","9.4","0.403","1","5",,,,"250000","1992197.1099999966","2426816.253198161","653750","0","23375","2500","18311","8951"
"simulation-results-10k-v2.json","2026-06-16T23:07:41.375Z","10000","100","100","reactive","2500","time_limit=2500","100","948","727.79","219.25","0","0.9","0.399","0","5",,,,"250000","2369996.1399999955","1819486.2355629173","548125","0","2269","0","15881","7544"
