"sourceFile","timestamp","totalGames","config_maxTurns","config_batchSize","strategy","count","outcomes","avgDays","avgFinalMoney","avgRevenue","avgRepairCosts","avgFishDeaths","avgPlantDeaths","avgPeakAmmonia","avgBiofiltersBought","avgFirstHarvestDay","successRate","survivalRate","eventRepairRate","totalDays","totalMoney","totalRevenue","totalRepairCosts","totalFishDeaths","totalPlantDeaths","totalBiofiltersBought","totalEventsEncountered","totalEventsRepaired"
"simulation-results-10k-v3.json","2026-06-16T23:16:40.950Z","10000","100","100","aggressive","2500","time_limit=2500","100","359.18","1140.65","241.59","29.6","602.5","3.576","0","6",,,,"250000","897951.6499999999","2851636.02358529","603975","74118","1506244","0","17674","8259"
"simulation-results-10k-v3.json","2026-06-16T23:16:40.950Z","10000","100","100","balanced","2500","time_limit=2500","100","246.67","1849.49","202.43","4.4","8.8","1.458","6.4","6",,,,"250000","616677.099999999","4623720.415184278","506075","10906","22042","16051","15468","7115"
"simulation-results-10k-v3.json","2026-06-16T23:16:40.950Z","10000","100","100","conservative","2500","time_limit=2500","100","1021","1096.81","272.55","0","3.8","0.403","0","5",,,,"250000","2552503.6700000013","2742028.0717424997","681375","0","9603","0","18622","9333"
"simulation-results-10k-v3.json","2026-06-16T23:16:40.950Z","10000","100","100","reactive","2500","time_limit=2500","100","984.23","768.02","215.71","0","0.4","0.383","0","5",,,,"250000","2460562.7600000026","1920046.8342040316","539275","0","1029","0","15702","7458"
